mean_age_SH20-M1H,LnFe_Mn,mean_age_SH20-M1H,LnMn_Ti,mean_age_SH20-M1H,LnBr_Ti,mean_age_SH20-M1H,Mo_inc/coh,mean_age_SH20-M1H,Ln_Ca/Ti
cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA
118.5,3.544744647,118.5,1.13186951,118.5,1.2297253,118.5,1.522378401,118.5,1.199615499
127.6,3.572206339,127.6,1.299282984,127.6,1.355522702,127.6,1.590611051,127.6,1.329135947
133.7,3.603858623,133.7,1.963181736,133.7,2.397895273,133.7,1.566846492,133.7,2.16696092
142.8,3.483127646,142.8,1.221672381,142.8,1.92875707,142.8,1.575134262,142.8,1.242506468
151.8,3.45946629,151.8,1.316450788,151.8,1.54384063,151.8,1.568490613,151.8,1.232143681
160.9,3.442783415,160.9,1.500897744,160.9,1.876188149,160.9,1.570557912,160.9,1.353623579
170,3.54934763,170,1.319952413,170,1.237198452,170,1.606674183,170,1.16820558
176,3.536749678,176,0.893013047,176,1.266573609,176,1.584712764,176,0.889383279
185.1,3.669994191,185.1,1.24274619,185.1,1.374598321,185.1,1.61578678,185.1,1.042820929
194.2,3.694444299,194.2,1.300772188,194.2,1.406579032,194.2,1.546161921,194.2,1.365589688
203.3,3.57508844,203.3,0.973449146,203.3,1.261131218,203.3,1.59756639,203.3,1.050410187
209.3,3.511383779,209.3,0.979626607,209.3,1.379056694,209.3,1.546071343,209.3,0.942857759
218.4,3.687607459,218.4,1.094383953,218.4,1.279526386,218.4,1.596888163,218.4,1.275999045
224.5,3.606595762,224.5,0.959775844,224.5,1.386294361,224.5,1.55636446,224.5,0.823200309
233.5,3.672822017,233.5,1.277400273,233.5,1.402042718,233.5,1.589122158,233.5,1.218157439
242.6,3.545238274,242.6,1.476374794,242.6,1.862935748,242.6,1.58548817,242.6,1.259764164
251.9,3.095289466,251.9,1.949662499,251.9,1.73537475,251.9,1.572188658,251.9,1.263978039
258.2,3.58316275,258.2,0.780158558,258.2,0.851285902,258.2,1.623431955,258.2,0.842290339
267.6,3.488167606,267.6,1.003302109,267.6,1.430746124,267.6,1.567442903,267.6,0.922333046
277.1,3.424012059,277.1,1.466337069,277.1,2.627081139,277.1,1.533234828,277.1,1.126011263
286.5,NaN,286.5,NaN,286.5,1.435084525,286.5,1.555151286,286.5,0
295.9,3.480213922,295.9,1.059391576,295.9,2.166853479,295.9,1.538920467,295.9,0.570544858
302.2,3.58302572,302.2,1.392229097,302.2,2.199866587,302.2,1.596673721,302.2,1.380324194
311.6,3.443644072,311.6,1.535039622,311.6,1.858653704,311.6,1.616085127,311.6,1.276732159
321,3.530058215,321,1.348836799,321,1.570452466,321,1.620835921,321,1.32956838
330.4,3.628466327,330.4,1.408370313,330.4,1.838279485,330.4,1.570477101,330.4,1.412727618
339.9,3.571008209,339.9,1.05908145,339.9,1.556919878,339.9,1.585536927,339.9,1.067113622
346.2,3.40598296,346.2,1.080330244,346.2,1.446918983,346.2,1.621381803,346.2,0.834797698
